10,0.1555,0.2421
15,0.0670,0.2956
20,0.0368,0.4282
25,0.0249,0.5097
30,0.0175,0.6746
35,0.0132,0.7522
40,0.0102,0.9127
45,0.0081,1.0154
50,0.0066,1.1789
55,0.0054,1.7702
60,0.0046,2.1089
